id,u,v,width,height,time
2395,0.7231701,0.1584924,0.0392858,0.04852524,87411.18333333333
2395,0.7233671,0.1584973,0.03819525,0.04717821,87411.2
2395,0.7233301,0.1583336,0.03720242,0.04595188,87411.21666666666
2395,0.7343097,0.1590848,0.05345729,0.06602965,87411.23333333334
2395,0.7348798,0.1591951,0.05261588,0.06499036,87411.25
2395,0.7366602,0.1596994,0.05001752,0.0617809,87411.26666666666
2395,0.7392706,0.1604529,0.0457053,0.0564545,87411.28333333334
2395,0.756718,0.1578114,0.06155737,0.07603475,87411.3
2395,0.7581285,0.1573477,0.05992964,0.0740242,87411.31666666667
2395,0.7612932,0.1567084,0.05534366,0.06835967,87411.33333333333
2395,0.7656902,0.1559878,0.04980452,0.0615178,87411.35
2395,0.7821231,0.1513715,0.06300844,0.07782709,87411.36666666667
2395,0.7833518,0.1510636,0.06161864,0.07611044,87411.38333333333
2395,0.7871024,0.1499414,0.05606286,0.06924801,87411.4
2395,0.7936076,0.1479333,0.04774632,0.05897555,87411.41666666667
2395,0.8031089,0.143841,0.05248788,0.06483226,87411.43333333333
2395,0.8043732,0.1433823,0.05056019,0.0624512,87411.45
2395,0.8076776,0.1417784,0.04437612,0.05481273,87411.46666666666
2395,0.8132581,0.1389258,0.03357519,0.04147158,87411.48333333334
2395,0.8177032,0.1344543,0.03156358,0.03898686,87411.5
2395,0.8186191,0.1337334,0.02630015,0.03248556,87411.51666666666
,,,,,
2396,0.8503045,0.1600297,0.04547945,0.05617554,87411.9
2396,0.8503536,0.1602164,0.04516346,0.05578524,87411.91666666667
2396,0.8505566,0.1602929,0.04413108,0.05451006,87411.93333333333
2396,0.8507384,0.1603193,0.04296872,0.05307433,87411.95
2396,0.8565821,0.1626302,0.05175988,0.06393304,87411.96666666666
2396,0.8569375,0.1630778,0.05093683,0.06291642,87411.98333333334
2396,0.8578461,0.1639943,0.04919594,0.0607661,87412.0
2396,0.8587112,0.1650715,0.04702814,0.05808847,87412.01666666666
2396,0.8639417,0.1618267,0.05227952,0.06457489,87412.03333333334
2396,0.8648406,0.1613388,0.05049577,0.06237162,87412.05
2396,0.8675594,0.1594167,0.0444974,0.05496253,87412.06666666667
2396,0.8719156,0.1558212,0.03389028,0.04186077,87412.08333333333
2396,0.8744271,0.1534555,0.02506987,0.03096593,87412.1
2396,0.8747866,0.1530753,0.01253937,0.01548844,87412.11666666667
,,,,,
2397,0.8206358,0.149352,0.03559465,0.04396598,87412.36666666667
2397,0.8207036,0.1495248,0.03525517,0.04354666,87412.38333333333
2397,0.820658,0.1495522,0.03427644,0.04233775,87412.4
2397,0.8207737,0.1498312,0.03328462,0.04111267,87412.41666666667
2397,0.8280827,0.1457199,0.04677885,0.05778054,87412.43333333333
2397,0.8286892,0.145491,0.04579622,0.05656682,87412.45
2397,0.830324,0.1446866,0.04215572,0.05207012,87412.46666666666
2397,0.8325411,0.1435613,0.03683721,0.04550078,87412.48333333334
2397,0.8469313,0.1348556,0.05471448,0.06758251,87412.5
2397,0.8479089,0.1341263,0.05287531,0.0653108,87412.51666666666
2397,0.8498632,0.132912,0.04930316,0.06089853,87412.53333333334
2397,0.852086,0.1316236,0.04481934,0.05536018,87412.55
2397,0.8670974,0.1240273,0.06116779,0.07555355,87412.56666666667
2397,0.8682095,0.1234497,0.05965133,0.07368043,87412.58333333333
2397,0.8713586,0.1218973,0.05455896,0.06739042,87412.6
2397,0.8760011,0.1195239,0.04786601,0.05912339,87412.61666666667
2397,0.8862379,0.1154097,0.05515384,0.06812521,87412.63333333333
2397,0.8873889,0.1149153,0.05321997,0.06573652,87412.65
2397,0.8907438,0.1136187,0.04762832,0.0588298,87412.66666666667
2397,0.8960516,0.1116813,0.0390149,0.04819063,87412.68333333333
2397,0.9058058,0.1080911,0.04679555,0.05780117,87412.7
2397,0.9067829,0.1078374,0.04514841,0.05576665,87412.71666666666
2397,0.9083023,0.1075882,0.0422393,0.05217336,87412.73333333334
2397,0.9099264,0.1074119,0.03845619,0.04750051,87412.75
2397,0.9157159,0.1027917,0.04524905,0.05589095,87412.76666666666
2397,0.9166897,0.1020342,0.04343186,0.05364639,87412.78333333334
2397,0.9181437,0.1006041,0.03876608,0.04788328,87412.8
2397,0.9200503,0.09859622,0.03169548,0.03914979,87412.81666666667
2397,0.9211231,0.09002281,0.03931041,0.04855564,87412.83333333333
2397,0.921282,0.08877488,0.03728082,0.04604872,87412.85
2397,0.9212746,0.08696578,0.03230984,0.03990864,87412.86666666667
2397,0.9214869,0.08477744,0.02496168,0.03083229,87412.88333333333
2397,0.9136024,0.0732851,0.04536825,0.05603819,87412.9
2397,0.9130709,0.07246555,0.04371024,0.05399023,87412.91666666667
2397,0.9121371,0.07121129,0.04098789,0.05062764,87412.93333333333
2397,0.9114646,0.07000033,0.03795033,0.04687569,87412.95
2397,0.8996103,0.05901564,0.05536297,0.06838352,87412.96666666666
2397,0.898811,0.05818231,0.05383268,0.06649332,87412.98333333334
2397,0.8968294,0.05633904,0.04930488,0.06090066,87413.0
2397,0.894523,0.05418233,0.04443001,0.05487928,87413.01666666666
